"Animal","Caption","Age","Depicts_research","Want_as_pet","Seen_in_real_world","Support_conservation","One_word_comment"
"loris","no context",35,4,4,4,4,"good"
"gorilla","no context",25,5,5,5,5,"monkey"
"loris","informative",48,4,4,4,4,"research "
"loris","no context",53,4,4,4,4,"cute"
"gorilla","no context",26,4,4,4,4,"GORILLA"
"gorilla","informative",30,5,5,5,5,"Gorilla"
"loris","informative",35,4,2,4,4,"read a about"
"gorilla","no context",25,4,4,4,4,"This post is give message to all people for saving the animals"
"gorilla","no context",59,5,5,5,5,"hgyyyyyyyyyyyyyyyyyg"
"gorilla","informative",35,2,4,4,4,"amazing"
"loris","informative",25,4,5,4,4,"Yes is like"
"gorilla","informative",35,4,4,4,4,"GorillaMan"
"gorilla","informative",27,4,1,1,2,"conservation"
"gorilla","no context",27,4,2,2,3,"Gorilla "
"loris","no context",54,5,4,5,4,"COMES"
"gorilla","no context",59,4,2,4,4,"I LOVE TO ANIMAL"
"gorilla","informative",56,5,4,4,5,"gorilla"
"gorilla","informative",34,5,5,4,5,"strike"
"gorilla","informative",26,5,5,4,5,"amazing gorillas"
"gorilla","informative",35,4,4,4,4,"happy"
"gorilla","informative",52,3,1,1,4,"close"
"loris","no context",25,5,5,5,5,"cute"
"loris","informative",47,5,5,5,5,"SLOW LORISES"
"loris","informative",27,5,1,4,5,"animals"
"loris","informative",27,5,1,4,5,"animals"
"gorilla","informative",51,4,4,5,4,"none"
"gorilla","informative",51,4,4,5,4,"none"
"loris","no context",79,2,2,2,3,"cute"
"loris","informative",53,5,4,2,5,"sweet"
"gorilla","no context",28,4,1,1,4,"brave"
"gorilla","informative",30,3,3,4,3,"good"
"gorilla","informative",59,4,1,1,3,"Research"
"loris","no context",38,4,4,4,4,"RESEARCH SUBJECT"
"gorilla","no context",40,3,1,1,4,"gorilla"
"loris","no context",48,4,4,4,4,"cute"
"loris","informative",23,4,5,4,4,"Tarsier"
"loris","informative",36,4,4,5,3,"SAVE ANIMALS"
"loris","no context",28,3,3,3,3,"monkey"
"loris","informative",30,5,4,4,4,"good"
"loris","no context",25,4,4,4,5,"good"
"loris","informative",28,2,2,2,2,"scared"
"loris","no context",25,4,4,4,5,"Baby Slender"
"loris","informative",40,5,5,5,5,"i know the animal"
"gorilla","no context",23,2,1,5,2,"Forced"
"gorilla","no context",42,4,4,4,2,"good"
"gorilla","no context",42,4,4,4,2,"good"
"gorilla","informative",31,4,5,4,4,"all animals are safely and humanly"
"gorilla","informative",39,4,4,4,4,"wild"
"loris","informative",69,4,1,1,3,"Unusual"
"loris","no context",58,4,4,4,4,"good"
"loris","no context",41,5,1,1,5,"research"
"gorilla","informative",67,5,1,2,4,"gorilla"
"gorilla","informative",24,4,4,4,4,"my friend"
"gorilla","no context",60,3,1,1,4,"Invasive"
"loris","no context",25,4,4,4,4,"small monkey"
"gorilla","informative",69,4,1,1,3,"Humane"
"gorilla","no context",29,4,1,3,4,"gorilla"
"loris","no context",27,4,2,1,3,"cute"
"gorilla","no context",32,4,4,4,4,"Big"
"loris","informative",47,4,4,4,4,"training "
"gorilla","no context",39,4,1,1,2,"Cute"
"loris","no context",30,4,4,4,4,"good"
"loris","informative",34,5,1,1,2,"Ugly"
"gorilla","no context",30,5,5,5,5,"good"
"loris","no context",30,2,1,1,4,"weird"
"gorilla","no context",55,2,1,1,3,"GORILLA "
"loris","no context",30,4,4,4,4,"me with my research subject"
"loris","no context",71,5,3,1,5,"species"
"gorilla","informative",32,4,1,5,4,"captivating"
"loris","informative",30,4,4,4,4,"animal"
"gorilla","no context",35,5,5,5,5,"five"
"gorilla","informative",30,4,4,5,4,"mountain gorillas"
"loris","informative",37,4,1,1,4,"science"
"gorilla","informative",56,4,4,4,4,"gorilla is quite"
"gorilla","informative",34,4,5,4,5,"Monkey reserve"
"loris","no context",26,3,4,4,3,"Monkey"
"gorilla","no context",32,4,1,4,1,"ita amazing look"
"gorilla","informative",31,4,4,4,4,"NICE LOOK"
"gorilla","informative",74,5,1,4,2,"wild"
"loris","no context",35,4,4,4,4,"wildlife loris in the picture"
"gorilla","no context",49,3,1,4,2,"Incredible"
"gorilla","informative",25,5,1,1,4,"Interesting job is observe animals "
"gorilla","no context",25,5,2,4,5,"Chimpanzee"
"gorilla","no context",57,4,4,4,4,"Good"
"gorilla","informative",65,5,1,1,3,"Researcher getting a bit too close to his subject"
"loris","informative",43,4,1,4,5,"Pity"
"loris","informative",30,4,5,5,4,"ANIMALS"
"gorilla","no context",30,5,5,5,5,"animal"
"loris","informative",40,4,4,5,3,"weak"
"loris","informative",47,4,2,2,4,"sadly"
"gorilla","no context",42,4,4,4,3,"Gorillas are some of the most powerful and striking animals"
"gorilla","no context",25,4,5,5,4,"Gorilla is a very helpful pet"
"loris","informative",25,4,5,5,4,"CUTE"
"loris","no context",53,5,5,5,4,"injured"
"loris","no context",40,4,4,4,4,"good"
"gorilla","informative",25,4,4,2,4,"GORILLA"
"gorilla","no context",38,5,5,4,5,"very nice picture"
"gorilla","no context",32,5,5,5,5,"beautyfull"
"loris","informative",25,5,4,5,5,"Animals handled with safely"
"gorilla","informative",41,4,4,4,5,"Nature "
"loris","no context",42,4,2,1,4,"research"
"loris","no context",40,4,4,2,4,"Me with my research service"
"gorilla","no context",56,4,5,3,4,"The image is beautiful animals "
"gorilla","no context",56,4,5,3,4,"The image is beautiful animals "
"gorilla","informative",30,4,5,4,5,"good"
"gorilla","informative",30,4,5,4,5,"good"
"gorilla","informative",44,5,2,4,4,"happy mind"
"gorilla","informative",28,5,4,4,5,"Forest"
"gorilla","informative",62,4,4,4,4,"cute"
"gorilla","informative",62,4,4,4,4,"cute"
"loris","no context",30,4,5,4,4,"Nice"
"loris","no context",30,4,5,4,4,"Nice"
"gorilla","informative",33,4,4,2,4,"sad"
"gorilla","informative",26,5,5,5,5,"Good ones"
"gorilla","no context",71,4,1,1,2,"Regal"
"loris","informative",38,4,3,4,4,"I want to save wildlife animals"
"loris","no context",30,4,4,4,4,"good"
"loris","no context",45,1,2,1,5,"Testing"
"gorilla","informative",42,4,4,2,2,"gorilla"
"loris","informative",30,1,1,1,1,"animal"
"loris","no context",35,4,4,4,5,"comment section"
"gorilla","informative",68,5,1,1,2,"Idiot"
"loris","informative",36,4,4,4,4,"FELT BAD ABOUT THE ANIMAL USING IN THE RESEARCH"
"gorilla","informative",49,4,5,4,4,"gorillas"
"loris","no context",30,4,4,4,4,"Research"
"gorilla","no context",60,3,1,1,5,"Fear"
"gorilla","no context",60,3,1,1,5,"Fear"
"loris","no context",30,4,5,5,5,"good"
"loris","no context",30,4,5,5,5,"good"
"gorilla","informative",25,4,4,4,4,"In this post man and the gorilla looking together"
"loris","informative",35,4,2,1,4,"Nature"
"loris","no context",35,3,4,3,3,"DIFFIRENT"
"gorilla","informative",50,5,1,4,2,"Gorilla"
"loris","no context",24,4,4,2,2,"Nice "
"loris","no context",43,2,2,2,5,"Wow"
"gorilla","informative",34,4,2,2,3,"amazing"
"gorilla","no context",31,2,1,1,4,"Posed"
"gorilla","no context",30,4,2,4,5,"wildanimal"
"gorilla","informative",32,5,4,5,5,"gorilla"
"loris","informative",56,4,3,3,3,"Wildlife conservation is important"
"loris","informative",37,5,4,4,2,"COMES"
"gorilla","no context",30,4,5,4,4,"mountain gorillas"
"loris","no context",41,5,4,5,4,"amazing"
"gorilla","no context",30,4,4,4,4,"gorilla one man"
"gorilla","no context",25,1,1,1,1,"mountain gorila"
"gorilla","no context",38,2,1,1,2,"Curiosity"
"loris","no context",42,3,3,3,3,"That is animal"
"gorilla","no context",32,4,3,3,5,"Gorilla"
"loris","no context",31,5,2,1,4,"lemur"
"gorilla","no context",35,4,5,5,2,"GORILLA LOOK"
"gorilla","no context",33,4,4,4,4,"ANIMALS CAN PROVIDE UNEXPECTED LOVE"
"gorilla","informative",29,5,5,5,5,"nice"
"loris","informative",26,3,1,1,3,"Alien"
"loris","informative",30,4,1,2,5,"conservation"
"loris","informative",41,5,1,1,4,"Adorable"
"loris","no context",30,5,5,5,5,"FORGIVENESS"
"loris","no context",38,4,5,5,4,"Wildlife"
"gorilla","informative",25,5,5,4,4,"gorilla is a very helpful pet"
"gorilla","informative",35,4,2,2,4,"Dominant"
"gorilla","informative",30,5,5,5,5,"humanity"
"loris","no context",44,5,5,5,4,"protection"
"gorilla","informative",25,4,4,5,4,"The animal handle the safe"
"loris","no context",38,3,3,3,3,"nice"
"loris","no context",38,3,3,3,3,"nice"
"loris","informative",26,4,4,4,4,"animal"
"loris","informative",26,4,4,4,4,"animal"
"gorilla","informative",27,4,2,4,4,"Investigation"
"loris","informative",27,4,4,4,4,"This animal are Disgusting"
"loris","informative",67,5,5,4,4,"cute"
"gorilla","informative",50,5,2,4,5,"Animals are very important in this world"
"loris","no context",25,5,3,4,5,"save  the animals"
"loris","no context",57,4,2,1,3,"scared"
"loris","no context",57,4,2,1,3,"scared"
"gorilla","informative",51,5,4,4,4,"liked by jessd"
"gorilla","informative",51,5,4,4,4,"liked by jessd"
"loris","informative",38,1,3,1,4,"Cute"
"loris","informative",36,4,2,4,4,"Sympathy"
"gorilla","no context",49,4,4,4,4,"good"
"gorilla","no context",25,4,2,5,4,"Monkey"
"loris","informative",40,4,5,5,5,"WILDLIFE"
"gorilla","informative",62,5,1,2,5,"beautiful"
"loris","no context",40,5,5,5,4,"research subject"
"gorilla","no context",52,4,1,1,5,"dangerous"
"loris","informative",32,4,5,5,5,"Good post help animals "
"loris","no context",38,4,4,3,4,"That Was Cute"
"loris","no context",40,5,5,5,5,"ANIMAL SAFTY"
"loris","informative",26,5,2,1,5,"USED IT FOR RESEARCH WITH THE PROPER PERMITS AND TRAINING"
"loris","informative",47,4,4,4,4,"AMAZING"
"loris","informative",65,3,2,1,4,"Eyes"
"gorilla","informative",37,4,2,2,4,"INTRESTING"
"gorilla","no context",47,5,1,3,4,"Interesting"
"loris","informative",63,5,2,1,5,"beautiful"
"gorilla","informative",63,5,1,4,2,"animal  preservation "
"gorilla","informative",63,5,1,4,2,"animal  preservation "
"gorilla","no context",25,5,5,4,4,"NICE"
"gorilla","no context",25,5,5,4,4,"NICE"
"gorilla","no context",40,4,4,4,4,"monkey"
"gorilla","informative",32,5,4,3,4,"Mountain gorillas in My Research"
"gorilla","no context",46,4,2,4,4,"wild life"
"gorilla","no context",36,3,4,4,4,"NICE PICTURE"
"gorilla","no context",52,4,1,1,5,"Incredible"
"gorilla","informative",36,5,4,4,4,"angry this gorilla"
"loris","informative",25,4,4,5,4,"AMAZING"
"gorilla","informative",30,5,3,4,4,"wildlife"
"gorilla","no context",49,4,1,4,4,"Cute"
"gorilla","no context",30,5,4,4,5,"Research"
"loris","informative",56,4,4,1,3,"adorable"
"loris","no context",69,4,1,1,4,"strange"
"loris","informative",41,5,2,5,5,"Pet"
"loris","informative",58,5,4,5,4,"Wildlife"
"loris","informative",29,4,1,1,1,"screech"
"gorilla","no context",32,4,4,4,4,"Big"
"loris","informative",24,5,5,4,5,"Research"
"loris","no context",36,5,4,4,5,"The health of the animal is weak and it not enough to get food "
"gorilla","informative",53,4,1,3,3,"Gorilla"
"gorilla","no context",25,5,5,5,4,"WILD LIFE GORILLA"
"loris","no context",55,4,1,1,1,"strange"
"loris","no context",55,4,1,1,1,"strange"
"loris","no context",30,5,5,5,4,"anuimal"
"loris","no context",30,5,5,5,4,"anuimal"
"loris","no context",25,4,5,5,4,"FOREST"
"loris","informative",40,4,4,5,5,"Back"
"loris","no context",35,3,4,4,4,"rechear the human"
"loris","no context",22,4,4,4,2,"sad"
"gorilla","no context",25,5,4,4,5,"i think this pic will good to see"
"gorilla","no context",37,4,3,4,4,"Nature"
"gorilla","informative",38,3,1,1,4,"WILDLIFE ANIMALS"
"loris","no context",42,4,1,1,4,"sympathy"
"gorilla","informative",52,5,2,5,5,"humanities"
"loris","no context",34,5,4,2,5,"cute"
"loris","no context",30,4,4,4,5,"mark"
"gorilla","no context",61,4,4,5,5,"Interesting"
"loris","informative",33,4,4,3,4,"very beatyful animal"
"loris","no context",21,4,1,1,2,"Frail"
"gorilla","no context",27,3,1,1,2,"Confrontation"
"gorilla","informative",27,5,5,5,5,"mountain gorilla"
"gorilla","informative",32,4,2,2,4,"amazing"
"loris","informative",32,5,4,5,5,"monkey"
"gorilla","informative",54,5,5,5,5,"good and enjoy in the animal"
"loris","no context",46,2,2,2,5,"Sad"
"loris","informative",44,4,1,1,1,"boring"
"loris","informative",67,4,1,1,5,"sad"
"loris","no context",35,4,5,4,5,"ME WITH MY RESEARCH SUBJECT"
"loris","no context",32,4,3,4,4,"fdear"
"gorilla","no context",54,3,1,1,1,"fake"
"gorilla","informative",35,4,4,5,2,"good"
"loris","informative",36,4,4,2,3,"Different creature"
"gorilla","informative",26,4,4,4,4,"Mountain gorilla"
"gorilla","no context",27,2,1,1,3,"wow"
"gorilla","no context",49,1,1,4,2,"awe"
"loris","informative",38,5,4,4,4,"BEST TRAINING"
"loris","no context",40,5,5,4,4,"GOODS"
"loris","informative",47,4,3,4,4,"this picture is nice"
"loris","informative",47,4,3,4,4,"this picture is nice"
"gorilla","no context",25,5,4,4,4,"me with wild monkey"
"gorilla","no context",25,5,4,4,4,"me with wild monkey"
"loris","no context",38,2,2,2,3,"Loris"
"loris","no context",41,5,4,4,4,"Nature "
"gorilla","informative",23,5,1,3,4,"gorilla "
"gorilla","no context",46,4,4,4,4,"GOOD"
"gorilla","informative",25,4,2,4,4,"cute"
"loris","informative",24,5,1,1,1,"Anmal"
"loris","no context",33,4,1,5,4,"cute"
"gorilla","no context",42,4,5,4,4,"good look"
"loris","informative",37,3,3,3,3,"None "
"gorilla","informative",25,4,4,4,5,"Chimpanzee"
"gorilla","informative",25,4,4,5,4,"all animals are observed safely"
"loris","no context",25,4,4,4,4,"Its looks like difficult"
"gorilla","no context",35,5,5,5,5,"yes"
"gorilla","informative",58,5,1,1,4,"Care"
"loris","informative",60,2,5,4,2,"butifull"
"loris","no context",52,3,1,1,1,"The animal is cute"
"gorilla","informative",39,5,2,4,4,"Natural Photography"
"gorilla","informative",53,4,4,4,4,"good"
"loris","informative",47,4,4,4,2,"happy"
"loris","informative",56,4,4,4,4,"good"
"gorilla","informative",25,4,4,4,4,"i like gorilla very much i also want  to see gorilla very near "
"loris","informative",30,5,5,4,4,"animal"
"gorilla","informative",40,5,5,5,5,"PET"
"gorilla","no context",29,4,4,4,3,"interesting"
"loris","no context",35,4,4,2,4,"happy"
"loris","informative",47,4,4,4,4,"research "
"gorilla","no context",57,4,1,1,3,"wildlife"
"gorilla","informative",37,5,5,5,5,"the man see the gorilla"
"gorilla","informative",30,4,4,5,5,"gorilla"
"gorilla","no context",34,4,1,1,3,"wildlife"
"loris","no context",32,4,4,4,4,"very nice "
"gorilla","informative",42,4,1,1,2,"interference"
"gorilla","no context",26,4,2,2,3,"Majestic"
"loris","informative",33,2,4,1,3,"Poor thing"
"loris","informative",37,5,1,1,4,"science"
"gorilla","informative",46,4,4,4,5,"gorillas"
"loris","informative",63,4,5,4,4,"save would animals"
"loris","informative",43,4,2,4,4,"happly"
"gorilla","no context",25,4,4,4,4,"nice"
"loris","informative",25,5,5,1,5,"nice"
"gorilla","no context",32,3,1,1,4,"wild"
"loris","informative",70,4,1,4,4,"great"
"gorilla","informative",43,5,1,2,3,"goriillas"
"loris","no context",30,5,5,5,4,"very good"
"gorilla","informative",45,4,4,4,5,"Delightful"
"loris","no context",26,4,5,5,4,"good ones"
"loris","informative",38,5,5,5,5,"SO CUTE PET"
"gorilla","no context",39,3,1,1,4,"connection"
"loris","informative",21,3,3,3,3,"good"
"loris","informative",21,3,3,3,3,"good"
"loris","informative",21,3,3,3,3,"good"
"gorilla","no context",28,3,1,1,4,"dangerous"
"gorilla","informative",39,4,2,1,4,"Intriguing"
"gorilla","informative",53,5,1,1,4,"Wildlife"
"loris","informative",35,5,1,2,5,"Research"
"loris","informative",34,5,5,5,4,"ALL ANIMALS WERE CAPTURED AND HANDLED SAFLEY AND HUMANELY FOR RESERCH WITH THE PROPER PERMITS AND TRAINING "
"gorilla","informative",35,5,1,2,4,"Humane"
"loris","informative",32,5,4,5,2,"uglly"
"loris","informative",42,2,2,5,4,"good"
"loris","informative",63,4,1,2,4,"odd"
"loris","no context",35,3,2,3,4,"nothing"
"loris","no context",28,5,2,4,5,"i like natural animal and  support the nature"
"loris","no context",25,4,4,4,4,"animal"
"gorilla","informative",25,5,5,5,5,"monkey"
"gorilla","informative",39,4,4,4,4,"Its very interesting to see it"
"gorilla","no context",30,4,4,5,4,"nature"
"loris","no context",33,4,2,1,4,"heartwarming"
"loris","no context",51,4,2,2,4,"worry"
"loris","no context",37,4,3,1,3,"cute"
"gorilla","informative",44,4,4,4,4,"Mountain and Gorilla"
"loris","no context",30,4,4,4,4,"animal"
"loris","no context",30,5,5,5,4,"instagram post"
"gorilla","no context",25,4,4,4,4,"i like that gorilla"
"gorilla","no context",56,4,1,1,5,"Nature"
"gorilla","informative",22,4,1,2,1,"Wildlife"
"gorilla","no context",52,4,3,4,4,"gorilla"
"loris","informative",32,5,3,3,5,"Wildlife"
"loris","no context",25,2,4,2,4,"GORILLA"
"loris","no context",30,4,4,4,4,"GOOD"
"loris","no context",34,5,4,5,5,"Excellent"
"loris","no context",40,1,1,1,3,"It has large eyes"
"loris","informative",30,4,5,4,5,"caring"
"gorilla","no context",44,4,5,4,5,"grt"
"loris","no context",30,1,1,1,1,"animal"
"loris","informative",56,5,1,1,3,"rescue"
"loris","informative",30,5,3,2,5,"Primatology"
"gorilla","informative",32,2,2,5,4,"its amazing looking"
"loris","informative",34,5,3,1,5,"Animal"
"loris","no context",35,3,3,3,4,"good"
"loris","informative",22,4,2,1,4,"adorable"
"gorilla","informative",47,3,3,4,4,"MAN SEE THE GORILLA"
"loris","no context",25,3,3,3,3,"INNOCENCE"
"gorilla","informative",40,5,4,4,4,"GORILLA"
"gorilla","informative",38,3,3,3,4,"Wildlife animal"
"gorilla","no context",39,3,1,2,5,"invasive"
"gorilla","no context",31,4,4,4,5,"good"
"gorilla","informative",30,4,5,4,4,"Observe"
"gorilla","informative",41,4,4,5,3,"A man observing  one of the mountain gorillas"
"loris","no context",25,4,4,5,4,"Very cute animal to watch "
"gorilla","no context",24,4,4,5,4,"Resource"
"loris","no context",38,4,5,5,5,"very cute and smoother animal"
"loris","informative",36,4,4,4,4,"ITS VERY USEFUL NEWS OF THE WILDLIFE"
"gorilla","no context",48,2,1,4,3,"gorilla"
"loris","informative",39,2,4,4,4,"THE POST WAS GOOD AND KNOWLEDGEFUL INFORMATION WAS SHARED"
"loris","informative",31,2,1,4,3,"Scary"
"gorilla","no context",34,5,5,5,5,"nothing like this"
"gorilla","no context",31,2,3,4,5,"Mysterious"
"gorilla","informative",22,5,1,4,2,"Peaceful"
"loris","no context",22,4,4,2,2,"sad"
"gorilla","informative",34,5,5,5,5,"animals are very calm"
"gorilla","no context",25,4,4,4,4,"NICE VISUALISATION"
"gorilla","informative",52,4,1,1,3,"scary"
"loris","informative",38,5,2,1,4,"Repetitive "
"gorilla","informative",27,4,4,4,4,"MOUNTAIN GORILLA"
"gorilla","no context",32,5,4,5,4,"Wildlife animals"
"gorilla","no context",48,5,4,5,4,"gorilla"
"loris","informative",32,4,4,4,4,"In this post are very simple "
"loris","no context",25,4,4,4,4,"This post is very nice"
"gorilla","no context",30,4,4,4,5,"good"
"gorilla","informative",31,5,1,1,4,"Connection"
"gorilla","no context",67,3,1,2,3,"Gorilla"
"loris","informative",30,4,2,5,2,"good feel"
"gorilla","no context",49,4,4,4,4,"my friend"
"loris","no context",70,3,2,2,2,"cute little critter"
"loris","no context",32,5,4,2,4,"danger"
"loris","informative",37,4,1,1,4,"sad"
"gorilla","no context",46,4,5,4,4,"YES"
"loris","informative",44,5,4,5,5,"SAVE THE ALL ANIMALS"
"loris","informative",33,4,1,1,4,"Cute eyes "
"loris","informative",26,4,5,4,5,"Research"
"loris","no context",42,3,2,2,2,"cute"
"loris","no context",35,5,5,5,4,"wildlife"
"loris","no context",35,5,5,5,4,"wildlife"
"loris","no context",25,4,4,4,4,"CARE"
"loris","no context",25,4,4,4,4,"CARE"
"loris","no context",48,3,3,3,4,"Species"
"loris","no context",25,4,5,4,4,"Resource"
"loris","no context",30,4,2,1,4,"fluffy"
"loris","no context",40,5,4,4,5,"likely"
"gorilla","informative",40,4,1,1,5,"Awe"
"gorilla","no context",35,4,4,4,4,"ITS USEFUL"
"loris","no context",25,4,4,4,4,"peaceful"
"gorilla","no context",32,4,4,4,4,"Research"
"gorilla","no context",32,4,4,4,4,"Animal and people love"
"gorilla","no context",59,4,4,4,4,"good"
"gorilla","no context",55,4,1,1,3,"dangerous"
"loris","no context",33,2,1,1,2,"Cute"
"loris","informative",45,4,1,1,1,"i dont like this post"
"loris","no context",68,3,5,5,5,"WILDLIFE"
"loris","informative",45,3,2,1,2,"Sad"
"gorilla","no context",30,4,4,4,4,"gorilla"
"gorilla","informative",35,4,1,1,2,"encounter"
"gorilla","no context",55,4,1,1,3,"run"
"loris","informative",37,4,4,4,5,"love"
"gorilla","no context",27,5,5,5,5,"GOOD"
"gorilla","informative",34,5,1,1,2,"invasive"
"gorilla","no context",52,5,3,5,4,"save animals"
"gorilla","informative",35,4,2,3,4,"COSERVATIVE"
"gorilla","no context",63,4,2,1,5,"unexpected environments"
"gorilla","informative",33,5,2,1,4,"Nature"
"gorilla","informative",31,4,4,5,5,"MONKEY OBSERVED HUMAN BEINGS"
"loris","informative",30,4,4,5,5,"GOOD"
"loris","informative",30,4,4,5,5,"GOOD"
"loris","informative",30,4,4,5,5,"GOOD"
"loris","informative",30,4,4,5,5,"GOOD"
"loris","informative",30,4,4,5,5,"GOOD"
"loris","informative",38,4,4,4,5,"SAVE ANIMALS"
"gorilla","no context",38,4,1,3,3,"Nature"
"loris","no context",25,4,4,2,4,"MANGOOS"
"loris","informative",30,4,4,4,4,"mark"
"loris","informative",60,5,5,4,5,"Cute"
"gorilla","no context",30,4,4,5,4,"gorila"
"loris","no context",44,2,2,1,2,"exotic"
"gorilla","informative",28,5,2,1,4,"Nature"
"loris","no context",41,4,4,4,4,"SO GOOD"
"gorilla","informative",51,5,5,5,5,"gorilla"
"gorilla","informative",52,2,2,4,4,"FEEL GOOD"
"gorilla","informative",60,5,1,2,5,"Gorilla"
"gorilla","informative",36,5,1,1,4,"nature"
"loris","no context",34,4,4,4,2,"foreset"
"gorilla","no context",45,5,5,5,5,"so good"
"loris","no context",30,4,4,4,4,"Slow loris"
"gorilla","informative",34,5,5,5,5," man and  monkey same poses"
"gorilla","informative",25,4,4,4,4,"greeny"
"loris","informative",66,4,2,2,2,"monkey"
"loris","informative",42,4,4,4,4,"ITS VERY NICE"
"loris","no context",29,4,4,4,5,"SAVE ANIMAL"
"gorilla","no context",38,4,4,4,3,"THE PERSON LOOKING THE MONKEY"
"loris","no context",43,4,4,4,4,"this picture is nice"
"loris","no context",35,5,5,4,1,"Excitement"
"loris","informative",40,2,1,1,4,"good"
"loris","informative",68,5,1,1,1,"rat"
"loris","informative",25,4,4,4,4,"I think this post is rare to see"
"gorilla","informative",38,5,2,5,2,"Protective"
"gorilla","informative",38,5,2,5,2,"Protective"
"gorilla","informative",37,4,2,4,5,"monkey"
"gorilla","informative",37,4,2,4,5,"monkey"
"loris","informative",56,4,4,4,4,"good"
"loris","informative",29,5,2,3,4,"fearful"
"gorilla","no context",24,5,5,4,5,"A men with monkey"
"gorilla","informative",25,4,4,4,4,"In this post man and the gorilla looking together"
"gorilla","informative",42,5,1,4,4,"dangerous"
"loris","informative",53,4,4,4,4,"good"
"loris","informative",25,4,4,4,5,"Cute Slender Loris"
"loris","informative",45,4,1,2,2,"Sad"
"loris","no context",52,4,5,5,4,"Is the world wild animal images as I saw that post"
"gorilla","no context",38,4,5,5,4,"FIVE"
"gorilla","informative",35,4,4,5,4,"Amazing"
"loris","informative",30,4,4,4,4,"VERY NICE"
"gorilla","no context",30,4,4,4,5,"happiness"
"gorilla","no context",32,4,4,4,4,"Research"
"gorilla","informative",56,4,4,4,4,"beautiful"
"gorilla","no context",25,4,2,4,4,"Funny"
"gorilla","no context",38,3,1,1,2,"Animal"
"loris","informative",32,4,5,2,1,"its amazing look"
"gorilla","informative",30,4,5,5,5,"Post for animal"
"loris","informative",34,4,2,5,4,"Primate"
"loris","informative",24,4,4,5,5,"Cute"
"gorilla","no context",31,4,1,1,5,"Beautiful"
"gorilla","no context",38,5,5,5,5,"WILDANIMALS SAFTY"
"gorilla","no context",25,4,4,3,5,"Researching animals pictures"
"loris","informative",28,5,4,4,4,"nice"
"gorilla","no context",27,5,1,3,5,"Interesting"
"gorilla","informative",25,4,2,4,5,"Gorilla"
"gorilla","informative",25,5,5,4,5,"gorilla"
"gorilla","informative",41,5,1,4,3,"biology "
"loris","informative",49,4,4,5,4,"Responsibility"
"loris","no context",46,4,1,1,3,"eyes"
"loris","informative",37,5,2,4,4,"Animals"
"gorilla","informative",33,4,1,4,4,"taking care of wild animals "
"loris","no context",28,5,1,1,1,"malnourished"
"loris","no context",24,4,3,4,4,"primatoligist"
"gorilla","informative",45,4,5,4,4,"FUNNY"
"gorilla","informative",27,4,3,5,3,"WILD ANIMALS"
"gorilla","no context",54,3,2,2,4,"WILDLIFE"
"gorilla","informative",29,5,1,1,4,"research"
"gorilla","informative",24,5,4,5,5,"Research"
"loris","no context",43,5,2,4,2,"lemur"
"loris","no context",30,4,4,4,4,"good"
"gorilla","no context",21,4,4,4,4,"love"
"loris","no context",25,3,4,4,1,"cute pet"
"loris","informative",45,4,4,4,4,"nice"
"loris","informative",44,4,4,4,4,"likied by jessd"
"gorilla","informative",25,5,3,5,5,"Torture"
"gorilla","no context",60,4,3,2,4,"wildlife"
"gorilla","no context",39,3,4,5,4,"Conservation"
"gorilla","no context",33,2,1,1,2,"The photo has been edited and do not look real at all"
"gorilla","no context",45,5,5,4,5,"wonderful"
"gorilla","no context",45,5,5,4,5,"wonderful"
"gorilla","informative",50,3,3,3,4,"good"
"gorilla","informative",50,3,3,3,4,"good"
"loris","no context",54,4,2,4,4,"Kind"
"loris","informative",26,5,5,5,5,"help"
"loris","no context",44,5,5,5,5,"nice post"
"loris","no context",30,4,5,4,4,"jessd"
"loris","no context",32,4,4,2,4,"SAVE ANIMALS"
"loris","no context",39,5,2,4,2,"awe"
"gorilla","no context",41,4,2,4,4,"CRAZY"
"loris","no context",33,5,5,5,5,"Good"
"gorilla","no context",42,4,4,3,4,"Responsibility"
"loris","no context",34,4,4,5,4,"GOOD"
"gorilla","informative",44,4,4,4,2,"none"
"gorilla","informative",44,4,4,4,2,"none"
"gorilla","informative",35,4,1,4,4,"Amazing"
"gorilla","informative",35,4,1,4,4,"Amazing"
"loris","informative",64,4,4,4,4,"This Animal Are Disgusting"
"gorilla","informative",32,4,4,4,4,"Actively My support and participate in wildlife and habitat conversation"
"loris","no context",69,3,1,1,4,"creepy"
"gorilla","informative",25,5,5,1,5,"gorilla"
"gorilla","informative",30,5,1,5,5,"Amazing"
"gorilla","no context",39,4,4,4,4,"THE POST WAS GOOD AND THE INFORMATION CAN BE MORE KNOWLEDGEFUL"
"gorilla","informative",44,5,1,1,1,"nature"
"gorilla","no context",51,5,5,5,5,"amazing"
"loris","informative",30,4,1,1,3,"monkey"
"gorilla","informative",45,5,3,1,4,"WILDLIFE"
"gorilla","informative",24,4,2,5,5,"Mountain gorillas research"
"loris","informative",33,5,5,4,2,"lab rat"
"gorilla","no context",35,4,4,5,4,"mountain corilla"
"gorilla","informative",30,4,4,4,4,"Gorilla"
"gorilla","no context",54,3,1,4,3,"irresponsible"
"loris","no context",30,2,5,4,4,"VERY GOOD"
"gorilla","informative",44,5,1,1,5,"awe"
