"Animal","Caption","Age","Depicts_research","Want_as_pet","Seen_in_real_world","Support_conservation","One_word_comment"
"gorilla","informative",62,3,2,1,5,"free"
"gorilla","informative",46,5,5,5,5,"GORILLA "
"loris","no context",27,5,5,2,4,"Cute "
"gorilla","informative",39,4,4,4,4,"THE WIDLIFE ARE SO PATIENT"
"gorilla","informative",28,3,4,4,4,"nice look korilla"
"loris","informative",25,4,4,5,4,"goods"
"loris","no context",34,1,4,5,5,"excellent"
"gorilla","no context",32,4,1,1,1,"Cute"
"loris","no context",42,4,5,4,4,"good look"
"loris","informative",61,5,1,1,4,"unusual"
"loris","informative",25,4,4,2,5,"cute"
"loris","no context",33,4,4,4,4,"HELPING"
"loris","no context",24,3,3,3,3,"different look"
"gorilla","informative",48,4,4,4,4,"like so much"
"gorilla","informative",39,4,1,1,1,"gorilla"
"gorilla","informative",43,5,1,1,3,"gorilla"
"gorilla","informative",37,4,4,4,4,"GORILLA"
"loris","informative",35,4,3,2,3,"INTIMACY"
"gorilla","informative",20,4,1,4,3,"close"
"gorilla","informative",50,5,1,2,3,"Jungle"
"gorilla","no context",31,5,5,4,5,"connection"
"gorilla","no context",51,5,4,4,4,"GORILLA"
"gorilla","no context",46,5,2,2,5,"photoshop"
"loris","no context",37,3,4,4,4,"Animal"
"gorilla","informative",41,5,4,4,4,"forest"
"gorilla","informative",25,4,4,4,4,"HUMANITY"
"loris","informative",26,5,3,3,5,"such wildlife protection is essential"
"gorilla","no context",42,4,5,4,4,"good"
"loris","informative",54,4,5,4,5,"save animals"
"loris","informative",47,4,1,1,1,"animal"
"loris","no context",65,2,1,1,4,"Wild"
"loris","no context",21,4,4,4,4,"THIS ANIMAL ARE Disgusting"
"gorilla","informative",55,4,4,4,4,"good"
"loris","no context",25,5,5,4,4,"research "
"loris","informative",24,4,4,3,4,"primatoligist"
"gorilla","informative",34,5,4,4,5,"Positive"
"loris","no context",25,4,5,4,4,"nice"
"gorilla","informative",53,5,1,1,4,"good"
"gorilla","informative",69,5,1,1,4,"fortunate"
"gorilla","no context",54,4,4,4,4,"come to	dawn on"
"loris","informative",31,5,4,4,5,"yes"
"gorilla","informative",26,3,1,2,2,"Nature"
"gorilla","informative",25,5,4,4,5,"cute"
"gorilla","informative",25,5,4,4,5,"cute"
"loris","informative",32,5,5,5,5,"nice"
"loris","informative",32,5,5,5,5,"nice"
"loris","no context",32,4,2,1,2,"Little"
"loris","informative",34,4,2,2,3,"unique"
"loris","no context",51,4,1,2,4,"Wild"
"loris","informative",65,4,4,4,5,"Beautiful"
"gorilla","no context",34,2,2,2,2,"nothing like this"
"gorilla","informative",37,4,2,2,5,"WILDLIFE PETS"
"loris","informative",45,4,1,1,4,"Odd"
"loris","no context",51,3,3,2,4,"uneasy"
"gorilla","no context",31,4,1,1,3,"Funny"
"gorilla","no context",32,4,4,4,4,"It looking big"
"loris","no context",36,4,4,4,5,"Humanity"
"gorilla","no context",30,4,3,3,3,"good"
"loris","informative",25,4,4,4,4,"cute"
"loris","informative",25,4,4,4,4,"cute"
"loris","informative",25,4,5,4,4,"The animal look very nice and great"
"loris","informative",25,4,5,4,4,"The animal look very nice and great"
"loris","no context",34,4,5,5,4,"wild animal"
"gorilla","informative",54,4,4,5,4,"save all animels "
"gorilla","informative",33,4,4,3,4,"good"
"loris","no context",29,4,4,4,4,"cute"
"loris","no context",58,4,1,1,4,"interesting"
"loris","no context",24,4,4,4,5,"design"
"gorilla","informative",35,3,2,1,2,"wondering Gods creature"
"gorilla","informative",48,4,2,2,4,"wildlifeanimalpicture"
"gorilla","no context",34,4,4,4,4,"very closest picture between man and animal"
"gorilla","no context",19,2,1,1,4,"Disappointment"
"loris","no context",38,4,4,4,4,"RESEARCH"
"loris","no context",64,2,2,2,3,"Inhuman"
"loris","informative",62,4,4,4,4,"Jessd"
"loris","no context",55,4,4,4,4," It turns out that mice and rats are the most commonly used animals in research"
"gorilla","informative",34,4,4,5,5,"good"
"loris","no context",64,5,1,1,5,"Research"
"loris","no context",35,5,4,3,4,"save animals"
"gorilla","informative",46,4,4,4,4,"animal"
"gorilla","no context",47,4,1,1,4,"Calm"
"gorilla","no context",47,4,1,1,4,"Calm"
"loris","no context",35,3,2,3,4,"good"
"loris","no context",35,3,2,3,4,"good"
"loris","informative",51,4,4,4,4,"Good"
"gorilla","informative",25,3,3,3,3,"like"
"gorilla","no context",25,5,3,4,4,"kingkong"
"loris","informative",64,4,1,1,4,"research"
"gorilla","informative",34,4,5,5,4,"One of the Mountain Research in gorilla"
"gorilla","informative",53,4,2,2,4,"wild life"
"gorilla","no context",36,4,4,4,4,"save wildlife"
"gorilla","no context",44,4,1,2,2,"photoshopped "
"loris","no context",25,4,4,2,5,"The post is nice"
"gorilla","no context",29,3,2,4,4,"SAVE WILDLIFE"
"gorilla","informative",48,4,4,4,4,"I feel happy to see the picture"
"gorilla","informative",30,1,1,1,1,"gorilla"
"gorilla","informative",29,4,5,5,5,"nice"
"loris","informative",48,4,4,4,4,"SO GOOD"
"loris","informative",44,1,2,3,5,"pity"
"loris","informative",51,4,5,5,5,"the animal feeling face not bad"
"gorilla","no context",26,5,1,4,2,"jungle"
"loris","no context",30,5,4,4,4,"Research"
"gorilla","informative",30,4,3,3,3,"NOTHING"
"gorilla","no context",38,4,1,2,4,"gorilla"
"gorilla","no context",25,4,4,5,4,"Safe Handling"
"loris","informative",36,4,5,2,4,"cute"
"gorilla","informative",42,2,4,4,2,"sad"
"loris","informative",34,2,4,2,2,"intrigued "
"gorilla","no context",39,4,4,4,4,"very real photo"
"gorilla","informative",43,3,4,4,4,"AMAZING"
"gorilla","informative",45,5,5,5,4,"love"
"loris","no context",44,4,1,2,3,"Empathy"
"gorilla","no context",32,5,5,5,5,"nice"
"gorilla","no context",30,5,4,5,4,"nothing"
"loris","no context",44,4,5,4,5,"ANIMAL"
"loris","no context",25,4,3,4,4,"This post is beautiful"
"gorilla","no context",32,4,1,5,5,"Wildlife"
"loris","informative",33,5,1,1,2,"Cute"
"loris","informative",24,5,5,5,5,"Save animal"
"loris","no context",34,5,5,4,5,"Jessd"
"loris","no context",34,5,5,4,5,"Jessd"
"loris","no context",30,4,4,4,4,"animals"
"loris","no context",30,4,4,4,4,"animals"
"gorilla","no context",25,4,4,4,4,"cute"
"gorilla","no context",44,4,4,5,5,"Wildlife images"
"gorilla","no context",51,5,2,5,4,"somewhat afraid what would do the animal next"
"gorilla","informative",28,3,4,4,4,"ALL ANIMALS ARE OBSER VED SAFELY AND HUMANLY"
"gorilla","informative",28,3,4,4,4,"ALL ANIMALS ARE OBSER VED SAFELY AND HUMANLY"
"loris","no context",34,4,2,2,4,"danger"
"loris","no context",34,4,2,2,4,"danger"
"loris","informative",32,4,4,1,2,"Afraid"
"gorilla","informative",30,5,5,5,4,"GOOD"
"gorilla","informative",30,5,5,5,4,"GOOD"
"gorilla","informative",30,5,5,5,4,"GOOD"
"loris","no context",33,5,5,4,4,"my friend"
"gorilla","informative",36,5,5,5,5,"excellent"
"gorilla","no context",42,5,4,4,5,"nature"
"loris","no context",25,5,4,4,5,"GOOD"
"loris","no context",25,3,4,4,4,"gorillaz"
"loris","informative",25,4,4,4,4,"i think the picture in this post will rare to see"
"loris","informative",42,5,2,1,3,"Monkey"
"gorilla","no context",55,4,4,4,4,"come to	dawn on"
"loris","no context",25,4,5,4,5,"research subject"
"gorilla","informative",30,5,4,4,4,"Mountain Gorilla"
"gorilla","no context",30,2,4,4,4,"fera"
"loris","no context",30,4,2,4,4,"animals love with human"
