"utensil","demographic","usage","percent","group"
"can_opener","male","N",464,"sex"
"can_opener","female","N",531,"sex"
"can_opener","biden","frequently",59,"vote"
"can_opener","trump","frequently",66,"vote"
"can_opener","biden","sometimes",31,"vote"
"can_opener","trump","sometimes",30,"vote"
"can_opener","biden","never",4,"vote"
"can_opener","trump","never",2,"vote"
"can_opener","biden","dont_own",4,"vote"
"can_opener","trump","dont_own",1,"vote"
"can_opener","biden","dont_know",2,"vote"
"can_opener","trump","dont_know",0,"vote"
"can_opener","biden","total",100,"vote"
"can_opener","trump","total",99,"vote"
"can_opener","biden","N",323,"vote"
"can_opener","trump","N",366,"vote"
"chef_s_knife","x18_29","frequently",32,"age"
"chef_s_knife","x30_44","frequently",44,"age"
"chef_s_knife","x45_64","frequently",45,"age"
"chef_s_knife","x65_plus","frequently",43,"age"
"chef_s_knife","x18_29","sometimes",31,"age"
"chef_s_knife","x30_44","sometimes",23,"age"
"chef_s_knife","x45_64","sometimes",30,"age"
"chef_s_knife","x65_plus","sometimes",30,"age"
"chef_s_knife","x18_29","never",11,"age"
"chef_s_knife","x30_44","never",9,"age"
"chef_s_knife","x45_64","never",5,"age"
"chef_s_knife","x65_plus","never",5,"age"
"chef_s_knife","x18_29","dont_own",18,"age"
"chef_s_knife","x30_44","dont_own",19,"age"
"chef_s_knife","x45_64","dont_own",16,"age"
"chef_s_knife","x65_plus","dont_own",19,"age"
"chef_s_knife","x18_29","dont_know",7,"age"
"chef_s_knife","x30_44","dont_know",5,"age"
"chef_s_knife","x45_64","dont_know",5,"age"
"chef_s_knife","x65_plus","dont_know",3,"age"
"chef_s_knife","x18_29","total",99,"age"
"chef_s_knife","x30_44","total",100,"age"
"chef_s_knife","x45_64","total",101,"age"
"chef_s_knife","x65_plus","total",100,"age"
"chef_s_knife","x18_29","N",149,"age"
"chef_s_knife","x30_44","N",218,"age"
"chef_s_knife","x45_64","N",365,"age"
"chef_s_knife","x65_plus","N",263,"age"
"chef_s_knife","lowinc","frequently",34,"income"
"chef_s_knife","midinc","frequently",46,"income"
"chef_s_knife","highinc","frequently",56,"income"
"chef_s_knife","lowinc","sometimes",29,"income"
"chef_s_knife","midinc","sometimes",29,"income"
"chef_s_knife","highinc","sometimes",27,"income"
"chef_s_knife","lowinc","never",7,"income"
"chef_s_knife","midinc","never",7,"income"
"chef_s_knife","highinc","never",5,"income"
"chef_s_knife","lowinc","dont_own",25,"income"
"chef_s_knife","midinc","dont_own",12,"income"
"chef_s_knife","highinc","dont_own",10,"income"
"chef_s_knife","lowinc","dont_know",5,"income"
"chef_s_knife","midinc","dont_know",6,"income"
"chef_s_knife","highinc","dont_know",2,"income"
"chef_s_knife","lowinc","total",100,"income"
"chef_s_knife","midinc","total",100,"income"
"chef_s_knife","highinc","total",100,"income"
"chef_s_knife","lowinc","N",404,"income"
"chef_s_knife","midinc","N",275,"income"
"chef_s_knife","highinc","N",213,"income"
"chef_s_knife","total","frequently",42,"none"
"chef_s_knife","total","sometimes",28,"none"
"chef_s_knife","total","never",7,"none"
"chef_s_knife","total","dont_own",18,"none"
"chef_s_knife","total","dont_know",5,"none"
"chef_s_knife","total","total",100,"none"
"chef_s_knife","total","N",995,"none"
"chef_s_knife","dem","frequently",42,"party"
"chef_s_knife","ind","frequently",39,"party"
"chef_s_knife","rep","frequently",44,"party"
"chef_s_knife","dem","sometimes",26,"party"
"chef_s_knife","ind","sometimes",27,"party"
"chef_s_knife","rep","sometimes",34,"party"
"chef_s_knife","dem","never",8,"party"
"chef_s_knife","ind","never",8,"party"
"chef_s_knife","rep","never",5,"party"
"chef_s_knife","dem","dont_own",20,"party"
"chef_s_knife","ind","dont_own",20,"party"
"chef_s_knife","rep","dont_own",13,"party"
"chef_s_knife","dem","dont_know",4,"party"
"chef_s_knife","ind","dont_know",7,"party"
"chef_s_knife","rep","dont_know",4,"party"
"chef_s_knife","dem","total",100,"party"
"chef_s_knife","ind","total",101,"party"
"chef_s_knife","rep","total",100,"party"
"chef_s_knife","dem","N",347,"party"
"chef_s_knife","ind","N",366,"party"
"chef_s_knife","rep","N",282,"party"
"chef_s_knife","white","frequently",44,"race"
"chef_s_knife","black","frequently",29,"race"
"chef_s_knife","hispanic","frequently",41,"race"
"chef_s_knife","other","frequently",40,"race"
"chef_s_knife","white","sometimes",29,"race"
"chef_s_knife","black","sometimes",27,"race"
"chef_s_knife","hispanic","sometimes",26,"race"
"chef_s_knife","other","sometimes",29,"race"
"chef_s_knife","white","never",6,"race"
"chef_s_knife","black","never",9,"race"
"chef_s_knife","hispanic","never",11,"race"
"chef_s_knife","other","never",5,"race"
"chef_s_knife","white","dont_own",15,"race"
"chef_s_knife","black","dont_own",28,"race"
"chef_s_knife","hispanic","dont_own",20,"race"
"chef_s_knife","other","dont_own",17,"race"
"chef_s_knife","white","dont_know",5,"race"
"chef_s_knife","black","dont_know",7,"race"
"chef_s_knife","hispanic","dont_know",2,"race"
"chef_s_knife","other","dont_know",10,"race"
"chef_s_knife","white","total",99,"race"
"chef_s_knife","black","total",100,"race"
"chef_s_knife","hispanic","total",100,"race"
"chef_s_knife","other","total",101,"race"
"chef_s_knife","white","N",657,"race"
"chef_s_knife","black","N",105,"race"
"chef_s_knife","hispanic","N",149,"race"
"chef_s_knife","other","N",84,"race"
"chef_s_knife","northeast","frequently",41,"region"
"chef_s_knife","midwest","frequently",44,"region"
"chef_s_knife","south","frequently",40,"region"
"chef_s_knife","west","frequently",42,"region"
"chef_s_knife","northeast","sometimes",24,"region"
"chef_s_knife","midwest","sometimes",32,"region"
"chef_s_knife","south","sometimes",27,"region"
"chef_s_knife","west","sometimes",30,"region"
"chef_s_knife","northeast","never",7,"region"
"chef_s_knife","midwest","never",5,"region"
"chef_s_knife","south","never",7,"region"
"chef_s_knife","west","never",9,"region"
"chef_s_knife","northeast","dont_own",18,"region"
"chef_s_knife","midwest","dont_own",15,"region"
"chef_s_knife","south","dont_own",21,"region"
"chef_s_knife","west","dont_own",13,"region"
"chef_s_knife","northeast","dont_know",9,"region"
"chef_s_knife","midwest","dont_know",3,"region"
"chef_s_knife","south","dont_know",4,"region"
"chef_s_knife","west","dont_know",5,"region"
"chef_s_knife","northeast","total",99,"region"
"chef_s_knife","midwest","total",99,"region"
"chef_s_knife","south","total",99,"region"
"chef_s_knife","west","total",99,"region"
"chef_s_knife","northeast","N",176,"region"
"chef_s_knife","midwest","N",219,"region"
"chef_s_knife","south","N",366,"region"
"chef_s_knife","west","N",234,"region"
"chef_s_knife","male","frequently",42,"sex"
"chef_s_knife","female","frequently",41,"sex"
"chef_s_knife","male","sometimes",31,"sex"
"chef_s_knife","female","sometimes",26,"sex"
"chef_s_knife","male","never",9,"sex"
"chef_s_knife","female","never",5,"sex"
"chef_s_knife","male","dont_own",13,"sex"
"chef_s_knife","female","dont_own",22,"sex"
"chef_s_knife","male","dont_know",5,"sex"
"chef_s_knife","female","dont_know",5,"sex"
"chef_s_knife","male","total",100,"sex"
"chef_s_knife","female","total",99,"sex"
"chef_s_knife","male","N",465,"sex"
