"status","peak_force_k_n","peak_energy_j","time_to_peak_force_ms","time_to_peak_energy_ms"
"hairy",0.821068,1.91170834725659,5.261230469,5.395507813
"hairy",0.752277,1.78007219142085,4.91943359375,5.09033203125
"hairy",0.592034,2.9723153177927,11.14501953125,13.85498046875
"hairy",0.7566,1.8184126274784,5.4931640625,5.67626953125
"hairy",0.505841,2.7108704999084,9.66796875,15.41748046875
"hairy",0.834812,2.85306217319915,7.4951171875,9.72900390625
"hairy",0.700396,3.15232594454806,9.82666015625,11.87744140625
"hairy",0.738962,2.16814407722786,6.5185546875,6.73828125
"hairy",0.613927,2.81411751268761,10.2783203125,12.43896484375
"hairy",0.743283,2.56513399181007,8.056640625,8.16650390625
"hairy",0.445313,2.01935144195703,8.33740234375,8.48388671875
"hairy",0.639868,2.60975102296969,7.71484375,12.07275390625
"hairy",0.552883,2.83745336167315,10.2783203125,13.36669921875
"hairy",0.600957,2.83549727891365,12.46337890625,12.8662109375
"hairy",0.722688,1.86266310690974,6.50634765625,6.75048828125
"hairy",0.765247,2.686407510772,7.36083984375,10.07080078125
"hairy",0.311433,2.46665682134965,13.07373046875,23.74267578125
"hairy",0.648818,2.77601792,8.69140625,12.19482421875
"hairy",0.85684,2.05270306246589,5.7861328125,5.95703125
"hairy",0.986664,2.2977167286476,5.9326171875,6.09130859375
"sheared",0.700396,1.27119762743945,3.40576171875,3.60107421875
"sheared",1.016481,2.49165486591105,5.67626953125,5.8837890625
"sheared",0.787232,1.7241885932942,4.67529296875,4.8095703125
"sheared",0.696398,1.68094719676576,5.11474609375,5.31005859375
"sheared",0.808859,1.87402709488228,5.2001953125,5.50537109375
"sheared",0.817129,1.93045270507156,5.28564453125,5.45654296875
"sheared",0.88198,2.09553828144123,5.04150390625,5.33447265625
"sheared",0.891877,2.13489563075932,5.65185546875,5.7861328125
"sheared",0.804534,1.9395847204918,5.04150390625,5.17578125
"sheared",0.735327,1.6593280864289,5.0048828125,5.1513671875
"sheared",0.777854,1.56605147839742,4.0283203125,4.1748046875
"sheared",0.696072,1.4225937911546,4.2724609375,4.47998046875
"sheared",0.661794,1.35019932679535,4.30908203125,4.47998046875
"sheared",0.765605,1.93910576879109,5.76171875,5.9326171875
"sheared",0.73066,1.66698192725357,5.16357421875,5.3466796875
"sheared",0.700069,1.46476785999822,4.296875,4.4189453125
"sheared",0.88198,1.94097230019106,5.17578125,5.322265625
"sheared",0.652533,1.3031732625447,4.0771484375,4.23583984375
"sheared",0.709043,3.01474622386123,10.41259765625,12.0849609375
"sheared",0.731001,1.42868477434049,4.38232421875,4.638671875
