"country","isocode","continent","witchcraft","abslat","rugged","calsuit","distcoast","religiosity","kinshipsch","wgirl","wgige","wgicc","secure","taxeff","justsys","legit","conflocpolice","confjudsys","confnatgov","schautoembed","hofidv","hofuai","hofivr","uzloose","traditionwvs","creativewvs","riskwvs","chindependencewvs","chimaginewvs","crithink","trustinoutwvs","bloodfam","chtolerancewvs","mai","trustgen","trustnbrglp","trustoutwvs","trustbuspar","fairwvs","impfriendswvs","impleisurewvs","blood","charity","strangerhelp","whrhappy","subjhealthwvs","whrposaffect","whrnegaffect","controlwvs","whrfreechoice","fatalism","hardwork","bzsg","limgoodwvs","entrisk","disideas","patapp","hindex","rdtogdp","lngdppcppp","lnpovrat","lifexp","schyears","hdi","disastexp","droughtexp","disrichness","newconfreq","unemprate"
"Spain","ESP","Europe",0.326597666383177,40.23053,1.6891483,1563.9358,0.13147116,2.4056685556495,-1.490874,1.0669969,1.0646855,0.8693367,3,3,2.8,3,0.758666666666667,0.390666666666667,0.349333333333333,1.02,51,86,43.526787,83.9,0.43434346,0.115739316,-0.7005456,0.3581823,0.27797404,3.00795579,0.9998978,0,0.73214996,7.44,0.31964642,3.3578334,2.3914094,0.54622614,5.30083,3.3770783,3.2561176,36.242405,0.293571428571429,0.495,6.402623,3.805886,0.7157821,0.32351735,6.8017616,0.7705597,0.624097632341683,0.797692307692308,3.92,5.380788,46.8937466541666,3.231058836,61.7223016315473,97.8700496066101,1.21961,10.530924,0.32930374,82.49317,9.91042,0.8895,11.74,1.559,202,0.017094433,20.46
"Estonia","EST","Europe",0.447266751884674,58.67318,0.12262832,1193.5208,0.13479422,1.97226419490028,-0.80251205,1.2242508,1.0547576,1.1442503,3,3,3.2,2.3333333,0.68,0.495714285714286,0.367142857142857,-0.014999986,60,60,16.294643,55.4,0.44661108,0.14483054,-0.74391156,0.3437329,0.1228343,4.471854687,0.98629594,0,0.70759165,2.37,0.42488304,3.253135,2.3489294,0.4787039,5.980262,3.166431,3.063748,44.37301,0.193571428571429,0.375714285714286,5.508981,3.4341574,0.68123454,0.19857761,6.390641,0.7479093,0.658418730559582,0.521666666666667,3.42,4.556736,56.6387693083333,4.018448353,60.0338627973152,80.0349727751196,1.49502,10.29799,0.10436003,76.40805,12.9,0.87125,6.52,0.869,198,0,9.276
"Ethiopia","ETH","Africa",0.254666666666667,8.621902,1.5696058,1180.6589,0.46637595,3.76,0.07977278,-0.6316881,-0.5249782,-0.5680665,1.75,2.5,2.2,3.3333333,0.65125,0.59375,0.7725,-1.265,NA,NA,46,NA,0.18963672,0.2367951,-0.36879227,0.582659,0.27371156,3.530461073,1.0424676,0.6113891,0.4096604,5.19,0.5294118,3.5523605,2.2007644,0.38402218,4.5431848,3.5895195,3.2093284,0.33324692,0.212222222222222,0.471111111111111,4.427327,4.040474,0.683083,0.24139684,6.824035,0.74011916,NA,0.907142857142857,NA,5.4253883,42.4551337916666,3.605252504,0.255871120291372,70.8194493311297,0.60468,7.3259125,4.2731876,63.2549,2.9,0.453,11.68,0.716,221,0.12921172,2.247
"Finland","FIN","Europe",0.10089073430527,64.481476,0.32765502,284.2355,0.32431334,2.24347854296281,0.30860728,1.9905015,2.0722194,2.2280684,3.25,3.75,3.6,3,0.870769230769231,0.746923076923077,0.589230769230769,1.075,63,59,57.36607,74.5,0.5092506,0.6871986,-0.9249413,0.56028396,0.2843662,5.428792,0.79512787,0,0.8349485,6.58,0.60074043,3.5338874,2.7362695,0.70858383,6.455792,3.4811769,3.3747175,44.189613,0.397692307692308,0.492307692307692,7.5070615,3.8672917,0.7847734,0.18834831,7.6091576,0.9333008,0.4020391097445,0.778181818181818,3.37,4.739907,63.7045065541666,4.438501358,100,93.3588094224413,2.90474,10.740077,-2.3025851,80.695366,14.2,0.92725,8.22,0.4,192,0,8.217
"France","FRA","Europe",0.203213932185618,46.560143,1.0976835,1811.9025,0.17200105,2.20392315163882,-1.5258346,1.4546808,1.4272743,1.390981,4,4,2.8,2.3333333,0.77,0.535333333333333,0.375333333333333,1.56,71,86,47.767857,99.6,-0.2224537,0.33494723,-0.88509405,0.28732795,0.19257337,3.694999695,0.7471404,0,0.79976,6.46,0.23601541,3.3232443,2.6241279,0.5753814,6.0818114,3.4076524,3.188026,39.63914,0.291428571428571,0.352857142857143,6.630006,3.8171513,0.7765179,0.2526821,6.4847155,0.8344906,0.315653462106888,0.724615384615385,NA,4.9363794,52.6906410833333,3.803221464,91.5272328381092,100,2.23135,10.671787,-2.5257287,82.07854,11.32049,0.891,9.62,0.948,209,0.017094433,9.289
"United Kingdom","GBR","Europe",0.133739697945237,54.15017,0.5684037,824.7928,0.034159403,2.15496293093155,-1.269476,1.7359298,1.5712277,1.726661,4,4,3.8,4,0.723333333333333,0.625333333333333,0.410666666666667,1.1000001,89,35,69.41964,89.3,0.1877997,0.43259206,-0.63794935,0.46746138,0.28276327,5.058168411,0.755815,0,0.7924218,6.61,0.37046435,3.492732,2.6854796,0.6290944,6.03369,3.5305412,3.365811,35.200447,0.702142857142857,0.588571428571429,6.8791614,3.9840055,0.8118849,0.21454783,7.105509,0.84345937,0.25037415919303,0.809230769230769,3.55,4.981345,68.8130597291666,4.723607063,84.9139554815669,100,1.70304,10.6844845,-1.0788096,80.75878,12.69257,0.9215,12.58,0.848,197,0.017094433,6.495
"Georgia","GEO","Asia",0.521835320653074,42.178658,3.6587021,1639.3657,0.18133283,3.43631787402929,0.4706407,0.03483752,0.46319354,0.365985,3,2.25,2.8,2.6666667,0.789333333333333,0.355333333333333,0.46,-0.38499987,NA,NA,31.919643,NA,1.2436309,-0.21725199,-1.1114337,0.5377022,0.07777383,3.117244959,1.1013185,0.17452952,0.60674363,3.05,0.14389841,3.462852,2.2244043,0.46824998,6.387091,3.6639493,3.1241522,1.9742905,0.0506666666666667,0.434666666666667,4.217357,3.3636441,0.53660345,0.23135436,6.212545,0.64675885,0.7841357786,0.544615384615385,3.99,4.1015463,47.0218042541666,3.596871138,8.59219306566102,73.4643405933653,0.32046,9.334179,3.1293886,72.2169,12.6064,0.78075,14.58,1.108,200,0.105360515,18.197
"Ghana","GHA","Africa",0.463836418800768,7.962766,0.22754921,1541.7031,0.28312847,3.87031818524644,1.1213567,0.038990434,-0.10283895,-0.107483625,2.75,3,2.6,2.3333333,0.611333333333333,0.613333333333333,0.6,-1.0799999,NA,NA,72.32143,NA,0.04709947,0.34820402,-0.46751148,0.3273486,0.13161474,3.374667645,0.8572435,0.6577913,0.6806009,6.91,0.30160037,3.1508512,2.1178455,0.53422064,4.701499,3.1738117,3.3542724,2.190569,0.293333333333333,0.595333333333333,4.724159,4.229554,0.72257435,0.22242002,7.1905274,0.7874869,NA,0.942307692307692,NA,5.4072075,53.7452330166666,3.898716688,0.419592280931158,71.3077298264438,0.37655,8.367619,3.404525,61.8831,6.5,0.58675,16.38,0.573,217,0.017094433,5.606
"Guinea Bissau","GNB","Africa",0.389904967305519,12.013146,0.4910146,1630.0474,0.04520012,3.89814749944948,0.73278624,-1.3998687,-1.3398674,-1.3429214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85048544,NA,7.01,0.52241486,NA,NA,NA,NA,NA,NA,0.44397882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.487891,4.447346,55.7775,NA,0.45725,18.86,0.042,204,0.022472857,3.016
"Greece","GRC","Europe",0.662733308965634,39.0434,3.102582,1725.2952,0.028878348,3.32557066233976,-0.9375671,0.44309554,0.4246717,-0.06195352,3,1.75,2.6,2,0.622857142857143,0.439285714285714,0.267142857142857,0.7449999,35,112,49.55357,58.3,NA,NA,NA,0.47559628,0.16950214,2.664435387,1.3791419,0.50265855,0.504884,3.34,0.11248702,2.959129,1.8441292,0.2392942,4.1357927,3.4128625,3.326245,28.620981,0.0846153846153846,0.376153846153846,5.3218217,4.1411963,0.6535059,0.33705226,6.598566,0.4527479,0.619782184080835,0.593333333333333,3.99,NA,41.4369871208333,2.98740077,43.5838967121612,89.2301427653912,0.95673,10.347158,0.67803353,80.82634,10.74311,0.874,22.89,1.066,202,0,19.629
