catID,sound,position,surprise,order,ID
n24,diff,diff,4,2,h2
n24,diff,diff,4,2,h3
n24,diff,diff,4,2,h4
n24,diff,diff,4,2,h5
n24,diff,diff,4,2,h6
n24,diff,diff,4,2,h7
n24,diff,diff,4,2,h8
n24,diff,same,2,1,h1
n24,diff,same,1,1,h2
n24,diff,same,3,1,h3
n24,diff,same,0,1,h4
n24,diff,same,0,1,h5
n24,diff,same,1,1,h6
n24,diff,same,1,1,h7
n24,diff,same,1,1,h8
n25,same,diff,3,2,h1
n25,same,diff,2,2,h2
n25,same,diff,4,2,h3
n25,same,diff,3,2,h4
n25,same,diff,2,2,h5
n25,same,diff,3,2,h6
n25,same,diff,1,2,h7
n25,same,diff,4,2,h8
n25,same,same,3,1,h1
n25,same,same,4,1,h2
n25,same,same,1,1,h3
n25,same,same,3,1,h4
n25,same,same,3,1,h5
n25,same,same,4,1,h6
n25,same,same,1,1,h7
n25,same,same,3,1,h8
n26,same,diff,4,1,h1
n26,same,diff,4,1,h2
n26,same,diff,3,1,h3
n26,same,diff,3,1,h4
n26,same,diff,3,1,h5
n26,same,diff,3,1,h6
n26,same,diff,4,1,h7
n26,same,diff,2,1,h8
n26,same,same,1,2,h1
n26,same,same,0,2,h2
n26,same,same,0,2,h3
n26,same,same,0,2,h4
n26,same,same,0,2,h5
n26,same,same,0,2,h6
n26,same,same,1,2,h7
n26,same,same,0,2,h8
n29,diff,same,2,2,h1
n29,diff,same,0,2,h2
n29,diff,same,0,2,h3
n29,diff,same,0,2,h4
n29,diff,same,0,2,h5
n29,diff,same,0,2,h6
n29,diff,same,2,2,h7
n29,diff,same,0,2,h8
n30,diff,diff,3,1,h1
n30,diff,diff,2,1,h2
n30,diff,diff,2,1,h3
n30,diff,diff,2,1,h4
n30,diff,diff,1,1,h5
n30,diff,diff,3,1,h6
n30,diff,diff,2,1,h7
n30,diff,diff,2,1,h8
n30,diff,same,2,2,h1
n30,diff,same,2,2,h2
n30,diff,same,4,2,h3
n30,diff,same,1,2,h4
n30,diff,same,1,2,h5
n30,diff,same,1,2,h6
n30,diff,same,2,2,h7
n30,diff,same,1,2,h8
n31,diff,diff,2,1,h1
n31,diff,diff,1,1,h2
n31,diff,diff,1,1,h3
n31,diff,diff,0,1,h4
n31,diff,diff,1,1,h5
n31,diff,diff,1,1,h6
n31,diff,diff,1,1,h7
n31,diff,diff,0,1,h8
n31,diff,same,1,2,h1
n31,diff,same,1,2,h2
n31,diff,same,1,2,h3
n31,diff,same,0,2,h4
n31,diff,same,1,2,h5
n31,diff,same,0,2,h6
n31,diff,same,1,2,h7
n31,diff,same,0,2,h8
n32,diff,same,2,1,h1
n32,diff,same,1,1,h2
n32,diff,same,0,1,h3
n32,diff,same,1,1,h4
n32,diff,same,1,1,h5
n32,diff,same,2,1,h6
n32,diff,same,1,1,h7
n32,diff,same,1,1,h8
n33,diff,diff,1,2,h1
n33,diff,diff,1,2,h2
n33,diff,diff,1,2,h3
n33,diff,diff,2,2,h4
n33,diff,diff,2,2,h5
n33,diff,diff,1,2,h6
n33,diff,diff,2,2,h7
n33,diff,diff,1,2,h8
n33,diff,same,1,1,h1
n33,diff,same,2,1,h2
n33,diff,same,2,1,h3
n33,diff,same,1,1,h4
n33,diff,same,0,1,h5
n33,diff,same,0,1,h6
n33,diff,same,1,1,h7
n33,diff,same,0,1,h8
n34,diff,diff,2,1,h1
n34,diff,diff,0,1,h2
n34,diff,diff,1,1,h3
n34,diff,diff,1,1,h4
n34,diff,diff,1,1,h5
n34,diff,diff,0,1,h6
n34,diff,diff,1,1,h7
n34,diff,diff,0,1,h8
n35,diff,same,1,2,h1
n35,diff,same,0,2,h2
n35,diff,same,0,2,h3
n35,diff,same,0,2,h4
n35,diff,same,0,2,h5
n35,diff,same,0,2,h6
n35,diff,same,1,2,h7
n35,diff,same,0,2,h8
n36,same,diff,3,1,h1
n36,same,diff,3,1,h2
n36,same,diff,0,1,h3
n36,same,diff,3,1,h4
n36,same,diff,2,1,h5
n36,same,diff,2,1,h6
n36,same,diff,3,1,h7
n36,same,diff,2,1,h8
n37,same,diff,1,2,h1
n37,same,diff,0,2,h2
n37,same,diff,0,2,h3
n37,same,diff,0,2,h4
n37,same,diff,0,2,h5
n37,same,diff,0,2,h6
n37,same,diff,1,2,h7
n37,same,diff,1,2,h8
n37,same,same,1,1,h1
n37,same,same,3,1,h2
n37,same,same,0,1,h3
n37,same,same,0,1,h4
n37,same,same,0,1,h5
n37,same,same,0,1,h6
n37,same,same,1,1,h7
n37,same,same,0,1,h8
n38,diff,diff,1,1,h1
n38,diff,diff,2,1,h2
n38,diff,diff,4,1,h3
n38,diff,diff,1,1,h4
n38,diff,diff,1,1,h5
n38,diff,diff,1,1,h6
n38,diff,diff,2,1,h7
n38,diff,diff,0,1,h8
n38,diff,same,1,2,h1
n38,diff,same,0,2,h2
n38,diff,same,3,2,h3
n38,diff,same,1,2,h4
n38,diff,same,0,2,h5
n38,diff,same,1,2,h6
n38,diff,same,1,2,h7
n38,diff,same,0,2,h8
n39,diff,diff,2,1,h1
n39,diff,diff,0,1,h2
n39,diff,diff,0,1,h3
n39,diff,diff,3,1,h4
n39,diff,diff,0,1,h5
n39,diff,diff,1,1,h6
