"treatment","bike_move_right2","mv_wait2","permitted2","safe2","cycle_distance","mv_distance","commute_type2","state","gender","education"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","MotorVehicle","MN","Male","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","Other","MN","Male","Graduate Degree"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","Other","MN","Male","High School"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","MT","Male","Graduate Degree"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","Other","NC","Male","Graduate Degree"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","More than 200 Miles","MotorVehicle","NC","Male","4-Year College"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","Less than 10 miles","Less than 50 miles","MotorVehicle","NC","Female","Graduate Degree"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","Other","NC","Male","Graduate Degree"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","Other","NC","Male","4-Year College"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","MotorVehicle","NC","Male","4-Year College"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","MotorVehicle","NC","Male","Community College"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","Other","NC","Male","4-Year College"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","Other","NC","Male","Graduate Degree"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","MotorVehicle","NC","Male","Graduate Degree"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","Other","NC","Male","Graduate Degree"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","Less than 10 miles","51 - 200 Miles","Other","NC","Male","4-Year College"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","Other","NC","Male","4-Year College"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","Less than 10 miles","Less than 50 miles","MotorVehicle","NC","Female","4-Year College"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","MotorVehicle","NC","Male","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","MotorVehicle","NC","Male","Graduate Degree"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","MotorVehicle","NC","Male","Graduate Degree"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","Less than 10 miles","More than 200 Miles","MotorVehicle","NC","Male","Graduate Degree"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","None","Other","NC","Male","Graduate Degree"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","Less than 10 miles","More than 200 Miles","MotorVehicle","NC","Male","Graduate Degree"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","MotorVehicle","NC","Female","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","Less than 10 miles","Less than 50 miles","MotorVehicle","NC","Female","Graduate Degree"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","Other","NC","Male","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","MotorVehicle","NC","Male","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","MotorVehicle","NC","Male","4-Year College"
"2_STR","0_Disagree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","MotorVehicle","NC","Male","4-Year College"
"1_None","0_Disagree","1_Agree","1_Agree","1_Agree","More than 50 miles","None","Other","NJ","Male","4-Year College"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","Other","NM","Male","Graduate Degree"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","Less than 10 miles","None","Other","NY","Female","Graduate Degree"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","None","Other","NY","Male","4-Year College"
