"individual","year","sex","age","population","subspecies","grey_score_avg"
"LittleJoe",2010,"M",16,"NIRC","verus",3.27631578947368
"Brownface",2011,"M",45,"NGOGO","schweinfurthii",1.69736842105263
"Dexter",2011,"M",26,"NGOGO","schweinfurthii",2.01315789473684
"Cash",2011,"M",18,"NGOGO","schweinfurthii",2.01315789473684
"Berg",2011,"M",33,"NGOGO","schweinfurthii",3.34868421052632
"Porkpie",2011,"M",17,"NGOGO","schweinfurthii",2.53289473684211
"Rollins",2011,"M",25,"NGOGO","schweinfurthii",2.38815789473684
"Dizzy",2011,"M",34,"NGOGO","schweinfurthii",3.23026315789474
"Miles",2011,"M",30,"NGOGO","schweinfurthii",3.50657894736842
"Abe",2011,"M",18,"NIRC","verus",2.54605263157895
"Dalton",2011,"M",15,"NIRC","verus",2.52631578947368
"Hugo",2011,"M",18,"NIRC","verus",3.125
"Kent",2011,"M",16,"NIRC","verus",3.06578947368421
"Miff",2011,"F",18,"NIRC","verus",4.70394736842105
"Moe",2011,"M",18,"NIRC","verus",4.92105263157895
"Shaq",2011,"M",15,"NIRC","verus",2.45394736842105
"Twirp",2011,"M",10,"NIRC","verus",3.11842105263158
"Jaybird",2013,"M",18,"NIRC","verus",3.19078947368421
"Matthew",NA,"M",29,"NIRC","verus",4.01315789473684
"Mable",NA,"F",9,"NIRC","verus",2.92105263157895
"Male1",NA,"M",31,"NIRC","verus",2.80263157894737
"Male2",NA,"M",31,"NIRC","verus",3.40789473684211
"Male4",NA,"M",30,"NIRC","verus",3.53947368421053
"Male6",NA,"M",45,"NIRC","verus",3.10526315789474
"Male7",NA,"M",43,"NIRC","verus",3.71052631578947
"Male8",NA,"M",51,"NIRC","verus",2.90131578947368
"Male9",NA,"M",43,"NIRC","verus",3.14473684210526
"Male10",NA,"M",44,"NIRC","verus",3.76315789473684
"Rachael",NA,"F",16,"NIRC","verus",2.76315789473684
"DIV",NA,"F",14,"TAI","verus",2.79605263157895
"ISH",NA,"F",39,"TAI","verus",2.36184210526316
"ROM",NA,"M",9,"TAI","verus",2.44078947368421
"TAB",NA,"M",17,"TAI","verus",2.31578947368421
"WOO",NA,"M",15,"TAI","verus",2.17763157894737
"ZYO",NA,"M",45,"TAI","verus",2.79605263157895
"ZOR",NA,"F",52,"TAI","verus",2.78947368421053
"WAP",NA,"F",41,"TAI","verus",2.39473684210526
"UTA",NA,"M",14,"TAI","verus",2.78289473684211
"SUM",NA,"F",44,"TAI","verus",2.85526315789474
"SAG",NA,"M",20,"TAI","verus",2.26973684210526
"OLI",NA,"F",36,"TAI","verus",2.27631578947368
"LOU",NA,"F",29,"TAI","verus",2.34210526315789
"KUB",NA,"M",13,"TAI","verus",2.53947368421053
"KIN",NA,"F",19,"TAI","verus",2.42763157894737
"COC",NA,"F",29,"TAI","verus",2.58552631578947
"Alina",NA,"F",6,"TAI","verus",1.98026315789474
"Athena",NA,"F",2,"TAI","verus",1.89473684210526
"Atra",NA,"F",20,"TAI","verus",2.18421052631579
"Celine",NA,"F",6,"TAI","verus",2.05921052631579
"Coco",NA,"F",21,"TAI","verus",2.61184210526316
"Gogol",NA,"M",10,"TAI","verus",2.04605263157895
"Haraka",NA,"M",26,"TAI","verus",2.64473684210526
"Huxel",NA,"M",4,"TAI","verus",2.40789473684211
"Ibrahim",NA,"M",1,"TAI","verus",2.61184210526316
"Jacobo",NA,"M",1,"TAI","verus",1.96710526315789
"Kaos",NA,"M",24,"TAI","verus",2.68421052631579
"Kinshas",NA,"M",10,"TAI","verus",2.38815789473684
"Kuba",NA,"M",4,"TAI","verus",2.22368421052632
"Linus",NA,"M",8,"TAI","verus",2.50657894736842
"Lucas",NA,"M",3,"TAI","verus",2.48684210526316
"Margot",NA,"F",26,"TAI","verus",1.75
"Max",NA,"M",6,"TAI","verus",1.71052631578947
"Olduvai",NA,"M",7,"TAI","verus",2.19078947368421
"Olivia",NA,"F",26,"TAI","verus",2.13815789473684
"Rebecca",NA,"F",4,"TAI","verus",1.73684210526316
"Sagu",NA,"M",12,"TAI","verus",2.89473684210526
"Settut",NA,"M",5,"TAI","verus",2.73684210526316
"Taboo",NA,"M",9,"TAI","verus",2.19736842105263
"Tere",NA,"M",1,"TAI","verus",2.48684210526316
"Tita",NA,"F",25,"TAI","verus",2.98684210526316
"Utan",NA,"M",5,"TAI","verus",1.86842105263158
"Volta",NA,"F",2,"TAI","verus",2.125
"Woodst",NA,"M",5,"TAI","verus",2.24342105263158
"Yogiti",NA,"M",11,"TAI","verus",2.41447368421053
"Yucca",NA,"M",31,"TAI","verus",2.625
"Zyon",NA,"M",37,"TAI","verus",2.59868421052632
