"time","person","sex","country","date","event","type","notes"
"3:07:27.2","Anni Pede-Erdkamp","F"," West Germany","September 16, 1967","Waldniel, West Germany","IAAF, ARRS","The ARRS notes Pede-Erdkamp's extended time as 3:07:26.2"
"3:02:53","Caroline Walker","F"," United States","February 28, 1970","Seaside, OR","IAAF, ARRS",""
"3:01:42","Elizabeth Bonner","F"," United States","May 9, 1971","Philadelphia, United States","IAAF, ARRS",""
"2:55:22","Elizabeth Bonner","F"," United States","September 19, 1971","New York City Marathon","IAAF, ARRS",""
"2:49:40","Cheryl Bridges","F"," United States","December 5, 1971","Culver City, United States","IAAF, ARRS",""
"2:46:36","Michiko Gorman","F"," United States","December 2, 1973","Culver City, United States","IAAF, ARRS","The ARRS notes Gorman's extended time as 2:46:37"
"2:46:24","Chantal Langlacé","F"," France","October 27, 1974","Neuf-Brisach, France","IAAF, ARRS",""
"2:43:54.5","Jacqueline Hansen","F"," United States","December 1, 1974","Culver City, United States","IAAF, ARRS","The ARRS notes Hansen's extended time as 2:43:54.6"
"2:42:24","Liane Winter","F"," West Germany","April 21, 1975","Boston Marathon","IAAF","Disputed (point-to-point)."
"2:40:15.8","Christa Vahlensieck","F"," West Germany","May 3, 1975","Dülmen","IAAF, ARRS",""
"2:38:19","Jacqueline Hansen","F"," United States","October 12, 1975","Nike OTC Marathon, Eugene, United States","IAAF, ARRS",""
"2:35:15.4","Chantal Langlacé","F"," France","May 1, 1977","Oiartzun, Spain","IAAF",""
"2:34:47.5","Christa Vahlensieck","F"," West Germany","September 10, 1977","Berlin Marathon","IAAF, ARRS",""
"2:32:29.8","Grete Waitz","F"," Norway","October 22, 1978","New York City Marathon","IAAF","Disputed (short course)."
"2:27:32.6","Grete Waitz","F"," Norway","October 21, 1979","New York City Marathon","IAAF","Disputed (short course)."
"2:31:23","Joan Benoit","F"," United States","February 3, 1980","Auckland, New Zealand","ARRS",""
"2:30:57.1","Patti Catalano","F"," United States","September 6, 1980","Montreal, Canada","ARRS",""
"2:25:41.3","Grete Waitz","F"," Norway","October 26, 1980","New York City Marathon","IAAF","Disputed (short course)."
"2:30:27","Joyce Smith","F"," United Kingdom","November 16, 1980","Tokyo, Japan","ARRS",""
"2:29:57","Joyce Smith","F"," United Kingdom","March 29, 1981","London Marathon","ARRS",""
"2:25:28","Allison Roe","F"," New Zealand","October 25, 1981","New York City Marathon","IAAF","Disputed (short course)."
"2:29:01.6","Charlotte Teske","F"," West Germany","January 16, 1982","Miami, United States","ARRS",""
"2:26:12","Joan Benoit","F"," United States","September 12, 1982","Nike OTC Marathon, Eugene, United States","ARRS",""
"2:25:28.7","Grete Waitz","F"," Norway","April 17, 1983","London Marathon","IAAF, ARRS",""
"2:22:43","Joan Benoit","F"," United States","April 18, 1983","Boston Marathon","IAAF","Disputed (point-to-point)."
"2:24:26","Ingrid Kristiansen","F"," Norway","May 13, 1984","London Marathon","ARRS",""
"2:21:06","Ingrid Kristiansen","F"," Norway","April 21, 1985","London Marathon","IAAF, ARRS",""
"2:20:47","Tegla Loroupe","F"," Kenya","April 19, 1998","Rotterdam Marathon","IAAF, ARRS",""
"2:20:43","Tegla Loroupe","F"," Kenya","September 26, 1999","Berlin Marathon","IAAF, ARRS",""
"2:19:46","Naoko Takahashi","F"," Japan","September 30, 2001","Berlin Marathon","IAAF, ARRS",""
"2:18:47","Catherine Ndereba","F"," Kenya","October 7, 2001","Chicago Marathon","IAAF, ARRS",""
"2:17:18","Paula Radcliffe","F"," United Kingdom","October 13, 2002","Chicago Marathon","IAAF, ARRS","First ""World's Best"" recognized by the International Association of Athletics Federations. The ARRS notes Radcliffe's extended time as 2:17:17.7"
"2:15:25 Mx","Paula Radcliffe","F"," United Kingdom","April 13, 2003","London Marathon","IAAF, ARRS","First world record for the women's marathon ratified by the International Association of Athletics Federations. The ARRS notes Radcliffe's extended time as 2:15:24.6"
"2:17:42 Wo","Paula Radcliffe","F"," Great Britain","April 17, 2005","London Marathon","IAAF",""
"2:17:01 Wo","Mary Jepkosgei Keitany","F"," Kenya","April 23, 2017","London Marathon","IAAF",""
"2:14:04 Mx","Brigid Kosgei","F"," Kenya","October 13, 2019","Chicago Marathon","IAAF",""
"2:11:53 Mx","Tigst Assefa","F"," Ethiopia","September 24, 2023","Berlin Marathon","World Athletics","First woman to break the 2:12:00 barrier in the marathon."
